"CVE","analfabeta","sin_primaria","sin_drenaje","sin_electricidad","sin_agua_entubada","con_hacinamiento","con_piso_tierra","habitantes_5000","salarios_minimos"
1001,2.59,11.48,0.49,0.31,0.77,25.25,1.42,8.73,29.9
1002,5.54,26.02,5.72,2.14,2.05,45.27,2.59,100,59.52
1003,6.19,28.88,0.79,0.87,1.8,39.79,2.42,50.76,60.08
1004,4.35,21.81,2.18,2,0.29,44.69,3.26,100,54.76
1005,3.76,18.21,1.26,1.17,1.43,39.16,2.59,45.17,31.15
1006,4.11,18.74,0.94,0.98,1.45,41.38,1.54,31.6,36.3
1007,4.7,19.22,2.23,0.8,1.22,42.29,3.68,43.06,46.42
1008,3.45,18.93,6.33,1.85,2.6,41.65,1.53,100,50.43
1009,5.91,26.77,3.23,1.32,0.87,47.4,2.17,100,45.62
1010,5.77,25.67,6.22,3.03,1.85,45.18,2.3,71.32,48.18
1011,4.74,20.51,0.71,0.53,0.67,42.84,1.56,54.92,32.69
2001,4.77,17.93,0.72,2.62,8.97,29.5,3.82,22.82,31.76
2002,2.31,12.2,0.36,0.53,1.38,29.02,2.19,12.86,22.35
2003,2.48,15,0.81,2.5,10.64,29.04,3.28,29.39,24.57
2004,2.11,11.71,0.36,0.58,2.24,28.87,3.99,3.23,18.24
2005,2.86,15.32,0.59,1.34,14.34,30.54,3.51,21.49,25.02
3001,5.44,22.69,1.58,2.08,3.2,33.62,5.42,22.03,36.92
3002,5.87,23.41,2.52,3.86,6.99,32.48,2.66,46.34,33.85
3003,2.34,10.81,0.56,1.93,4.72,25.34,2.84,12.52,23.91
3008,2.89,13.11,0.67,3.35,10.74,37.7,9.7,9.62,17.13
3009,3.33,16.5,2.41,9.09,7.7,35.08,8.36,12.03,23.4
4001,13.12,28.54,20.87,1.44,6.29,52.83,2.8,26.28,65.63
4002,5.02,15.9,2.09,0.92,1.16,37.34,1.79,9.71,38.19
4003,5.48,18.36,1.67,1.54,18.55,43.51,4.62,17.25,24.81
