x,y,species logistic values
1.0,1.0,0.50765526
2.0,2.0,0.3990134
3.0,3.0,0.4291828
4.0,4.0,0.1823818
5.0,5.0,0.008675752
6.0,6.0,0.47471142
7.0,7.0,0.34509283
8.0,8.0,0.5193321
9.0,9.0,0.3549728
10.0,10.0,0.26930308
11.0,11.0,0.4205066
12.0,12.0,0.028720124
13.0,13.0,0.41981214
14.0,14.0,0.4233469
15.0,15.0,0.023267645
16.0,16.0,0.10516192
17.0,17.0,0.037352547
18.0,18.0,0.1391827
19.0,19.0,0.55669045
20.0,20.0,0.34412795
21.0,21.0,0.5026529
22.0,22.0,0.144502
23.0,23.0,0.6062793
24.0,24.0,0.1305442
25.0,25.0,0.009447348
26.0,26.0,0.63205284
27.0,27.0,0.4585882
28.0,28.0,0.6756752
29.0,29.0,0.3695095
30.0,30.0,0.1348336
31.0,31.0,0.120578386
32.0,32.0,0.4159672
33.0,33.0,0.0077621546
34.0,34.0,0.55490935
35.0,35.0,0.060442943
36.0,36.0,0.074145444
37.0,37.0,0.39072648
38.0,38.0,0.2878555
39.0,39.0,0.5496724
40.0,40.0,0.3665063
41.0,41.0,0.41970143
42.0,42.0,0.1733832
43.0,43.0,0.39853024
44.0,44.0,0.035422236
45.0,45.0,0.3999476
46.0,46.0,0.10088518
47.0,47.0,0.47532377
48.0,48.0,0.5087808
49.0,49.0,0.62952197
50.0,50.0,0.11503529
51.0,51.0,0.5277586
52.0,52.0,0.069135115
53.0,53.0,0.30569926
54.0,54.0,0.36465642
55.0,55.0,0.013399186
56.0,56.0,0.107234105
57.0,57.0,0.10652127
58.0,58.0,0.20174415
59.0,59.0,0.4631414
60.0,60.0,0.5057705
61.0,61.0,0.116615854
62.0,62.0,0.43967575
63.0,63.0,0.034609813
64.0,64.0,0.39927474
65.0,65.0,0.29525813
66.0,66.0,0.0010789114
67.0,67.0,0.16354495
68.0,68.0,0.5180985
69.0,69.0,0.59406555
70.0,70.0,0.09959043
71.0,71.0,0.18453556
72.0,72.0,0.57137215
73.0,73.0,0.31047872
74.0,74.0,0.23553258
75.0,75.0,0.1332598
76.0,76.0,0.4621943
77.0,77.0,0.029024934
78.0,78.0,0.009196146
79.0,79.0,0.11649399
80.0,80.0,0.45157322
81.0,81.0,0.0858513
82.0,82.0,0.1833946
83.0,83.0,0.3739773
84.0,84.0,0.52492326
85.0,85.0,0.40577146
86.0,86.0,0.25983924
87.0,87.0,0.008521058
88.0,88.0,0.55963
89.0,89.0,0.027093742
90.0,90.0,0.406921
91.0,91.0,0.027900761
92.0,92.0,0.015992042
93.0,93.0,0.018163485
94.0,94.0,0.35288125
95.0,95.0,0.6079568
96.0,96.0,0.00482782
97.0,97.0,0.15123983
98.0,98.0,0.5131706
99.0,99.0,0.5327331
100.0,100.0,0.05761813
101.0,101.0,0.38607317
102.0,102.0,0.5101128
103.0,103.0,0.3175886
104.0,104.0,0.5662344
105.0,105.0,0.1000205
106.0,106.0,0.2831683
107.0,107.0,0.47707412
108.0,108.0,0.56270176
109.0,109.0,0.4676851
110.0,110.0,0.54564315
111.0,111.0,0.022159284
112.0,112.0,0.37778407
113.0,113.0,0.5268443
114.0,114.0,0.021476584
115.0,115.0,0.01740723
116.0,116.0,0.2420423
117.0,117.0,0.31084138
118.0,118.0,0.1280024
119.0,119.0,0.15660566
120.0,120.0,0.43784416
121.0,121.0,0.031955212
122.0,122.0,0.41136435
123.0,123.0,0.584911
124.0,124.0,0.29506564
125.0,125.0,0.32921907
126.0,126.0,0.022304822
127.0,127.0,0.52127576
128.0,128.0,0.30133852
129.0,129.0,0.48720035
130.0,130.0,0.029369893
131.0,131.0,0.41231635
132.0,132.0,0.40929395
133.0,133.0,0.017512567
134.0,134.0,0.34507212
135.0,135.0,0.38732225
136.0,136.0,0.015610741
137.0,137.0,0.14385526
138.0,138.0,0.49613544
139.0,139.0,0.33093104
140.0,140.0,0.5015876
141.0,141.0,0.4882509
142.0,142.0,0.032671314
143.0,143.0,0.06081869
144.0,144.0,0.09042955
145.0,145.0,0.12507531
146.0,146.0,0.2667246
147.0,147.0,0.5149936
148.0,148.0,0.41919014
149.0,149.0,0.62160975
150.0,150.0,0.15890199
151.0,151.0,0.13242123
152.0,152.0,0.46504864
153.0,153.0,0.4992215
154.0,154.0,0.4798995
155.0,155.0,0.13407867
156.0,156.0,0.5323426
157.0,157.0,0.06789656
158.0,158.0,0.007405515
159.0,159.0,0.473944
160.0,160.0,0.004719091
161.0,161.0,0.26134393
162.0,162.0,0.040205084
163.0,163.0,0.3062784
164.0,164.0,0.5255154
165.0,165.0,0.004817208
166.0,166.0,0.489262
167.0,167.0,0.109261855
168.0,168.0,0.27434468
169.0,169.0,0.6060996
170.0,170.0,0.17002076
171.0,171.0,0.15178663
172.0,172.0,0.15057054
173.0,173.0,0.4708204
