x,y,raw,cumulative,logistic
1.0,1.0,1.42266E-4,46.580372367,0.507655279
2.0,2.0,9.16059E-5,21.280539603,0.399013416
3.0,3.0,1.0374E-4,26.83853517,0.42918279
4.0,4.0,3.07774E-5,4.394818439,0.182381799
5.0,5.0,1.20751E-6,0.036902464,0.008675752
6.0,6.0,1.2469E-4,37.528584346,0.474711416
7.0,7.0,7.27037E-5,14.233140161,0.345092833
8.0,8.0,1.49074E-4,49.826926156,0.519332119
9.0,9.0,7.59307E-5,15.221109517,0.354972816
10.0,10.0,5.08516E-5,8.420864183,0.269303064
11.0,11.0,1.00121E-4,25.086162014,0.42050661
12.0,12.0,4.07983E-6,0.198305484,0.028720124
13.0,13.0,9.98359E-5,24.996179181,0.419812157
14.0,14.0,1.01294E-4,25.730937362,0.423346911
15.0,15.0,3.28683E-6,0.151472514,0.023267646
16.0,16.0,1.62149E-5,1.355488123,0.105161921
17.0,17.0,5.35369E-6,0.279745619,0.037352548
18.0,18.0,2.23087E-5,2.591577722,0.139182702
19.0,19.0,1.73264E-4,60.423269054,0.556690474
20.0,20.0,7.23938E-5,14.146044682,0.344127953
21.0,21.0,1.39447E-4,45.116433504,0.502652859
22.0,22.0,2.33053E-5,2.785486188,0.144501994
23.0,23.0,2.12464E-4,73.95621209,0.606279285
24.0,24.0,2.07162E-5,2.229843617,0.130544197
25.0,25.0,1.31593E-6,0.044718107,0.009447349
26.0,26.0,2.37011E-4,79.892480069,0.632052809
27.0,27.0,1.16868E-4,33.698251545,0.458588221
28.0,28.0,2.87447E-4,89.381267643,0.67567522
29.0,29.0,8.08626E-5,16.777068945,0.3695095
30.0,30.0,2.1503E-5,2.40060986,0.134833616
31.0,31.0,1.89179E-5,1.826870556,0.120578386
32.0,32.0,9.82703E-5,24.163468231,0.415967183
33.0,33.0,1.07936E-6,0.028676881,0.007762155
34.0,34.0,1.72018E-4,59.957381437,0.554909369
35.0,35.0,8.87612E-6,0.491688955,0.060442945
36.0,36.0,1.10495E-5,0.699416766,0.074145449
37.0,37.0,8.84833E-5,19.911486049,0.390726475
38.0,38.0,5.57708E-5,9.462630906,0.287855515
39.0,39.0,1.68413E-4,58.544195643,0.549672429
40.0,40.0,7.98251E-5,16.383300461,0.366506308
41.0,41.0,9.97906E-5,24.966232461,0.419701443
42.0,42.0,2.89403E-5,4.053643088,0.173383212
43.0,43.0,9.14214E-5,21.225618635,0.398530258
44.0,44.0,5.06686E-6,0.260935799,0.035422236
45.0,45.0,9.19633E-5,21.418201631,0.399947602
46.0,46.0,1.54815E-5,1.260177682,0.100885184
47.0,47.0,1.24997E-4,37.703362965,0.475323764
48.0,48.0,1.42908E-4,46.937051932,0.508780794
49.0,49.0,2.34449E-4,79.397307462,0.629521942
50.0,50.0,1.79352E-5,1.658969375,0.115035285
51.0,51.0,1.54196E-4,52.211423147,0.527758606
52.0,52.0,1.02474E-5,0.613980949,0.069135119
53.0,53.0,6.07501E-5,10.63626725,0.305699246
54.0,54.0,7.9191E-5,16.184355688,0.364656432
55.0,55.0,1.87386E-6,0.0770864,0.013399185
56.0,56.0,1.65728E-5,1.421158315,0.107234107
57.0,57.0,1.64495E-5,1.393080165,0.106521274
58.0,58.0,3.48706E-5,5.20247262,0.201744153
59.0,59.0,1.19029E-4,34.783564252,0.463141411
60.0,60.0,1.41197E-4,46.098453599,0.505770517
61.0,61.0,1.82141E-5,1.707824314,0.116615857
62.0,62.0,1.08266E-4,29.214269054,0.439675745
63.0,63.0,4.94649E-6,0.251938139,0.034609813
64.0,64.0,9.17057E-5,21.317210171,0.399274731
65.0,65.0,5.78059E-5,9.895160667,0.295258136
66.0,66.0,1.49024E-7,0.000102203,0.001078911
67.0,67.0,2.69771E-5,3.631021301,0.163544957
68.0,68.0,1.48339E-4,49.559209476,0.518098488
69.0,69.0,2.0192E-4,70.889296295,0.594065575
70.0,70.0,1.52608E-5,1.212561474,0.099590431
71.0,71.0,3.12231E-5,4.494030458,0.184535565
72.0,72.0,1.83924E-4,65.150659748,0.571372137
73.0,73.0,6.21276E-5,11.060407614,0.31047871
74.0,74.0,4.25101E-5,6.710523023,0.235532573
75.0,75.0,2.12134E-5,2.340813421,0.133259806
76.0,76.0,1.18577E-4,34.557804373,0.462194288
