Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.67861E-8,0.000005679,0.000411399,1,0,0
7.25019E-8,0.000012929,0.000525195,0.999910145,0,0
1.17397E-7,0.000035183,0.00085013,0.999730434,0,0
1.30671E-7,0.000060706,0.000946168,0.999550723,0,0
1.49024E-7,0.000102203,0.001078911,0.999281157,0,0
1.76477E-7,0.000250296,0.001277419,0.998472459,0,0
2.50733E-7,0.000506684,0.001813937,0.997394195,0,0
3.91073E-7,0.001019831,0.002826367,0.996046365,0,0
5.11348E-7,0.002535142,0.003692406,0.993081139,0,0
6.16727E-7,0.005037793,0.004449957,0.989127505,0,0
7.52154E-7,0.010015709,0.005421818,0.982568065,0,0
1.0207E-6,0.025094642,0.007343392,0.967202803,0,0
1.40696E-6,0.050028514,0.010094273,0.94860275,0,0
2.38356E-6,0.10011763,0.016981897,0.923892533,0,0
4.12443E-6,0.200359106,0.029024934,0.895677958,0.000856898,0
5.62015E-6,0.300014555,0.039138855,0.877257615,0.000856898,0
7.23472E-6,0.400025667,0.049822567,0.863240183,0.000856898,0
9.03773E-6,0.500634872,0.061475835,0.852098122,0.000856898,0
1.01309E-5,0.600724379,0.068403327,0.842753167,0.000856898,0
1.10557E-5,0.700522336,0.074184028,0.834306766,0.000856898,0
1.15993E-5,0.750283638,0.077548779,0.830353131,0.002570694,0
1.20261E-5,0.801119706,0.080173222,0.826489352,0.002570694,0
1.29469E-5,0.901253856,0.085785121,0.819300926,0.003427592,0
1.36922E-5,1.001186819,0.09027818,0.812561776,0.00428449,0
1.44284E-5,1.101139493,0.094672202,0.806182047,0.00428449,0
1.51781E-5,1.200383923,0.099103874,0.80016174,0.00428449,0
1.58509E-5,1.300939921,0.103044389,0.794321143,0.005998286,0
1.6471E-5,1.401311781,0.106645855,0.788750112,0.006855184,0
1.69962E-5,1.50015163,0.109673329,0.783448648,0.007712082,0
1.85474E-5,1.750091739,0.118496522,0.770779046,0.010282776,0
1.97437E-5,2.001197723,0.125183086,0.759007997,0.01285347,0
2.07615E-5,2.250587171,0.130791935,0.747955791,0.016281063,0
2.19855E-5,2.50076008,0.137443,0.737442717,0.017137961,0
2.31501E-5,2.750647558,0.143677695,0.727468775,0.017994859,0
2.42988E-5,3.001467408,0.149739631,0.71794411,0.018851757,0
2.53895E-5,3.252182541,0.15541603,0.708868721,0.022279349,0
2.63009E-5,3.500352145,0.16010191,0.700242609,0.025706941,0
2.73736E-5,3.750677755,0.165550818,0.691886063,0.026563839,0
2.85707E-5,4.001937438,0.171548414,0.683799083,0.029134533,0
3.0091E-5,4.251834715,0.179042523,0.67616138,0.029134533,0
3.12352E-5,4.500277086,0.184594247,0.668883098,0.030848329,0
3.24683E-5,4.751650568,0.190493379,0.661784527,0.032562125,0
3.38544E-5,5.003166429,0.197023053,0.654955522,0.032562125,0
3.51938E-5,5.251504947,0.203234225,0.648485938,0.035132819,0
3.6476E-5,5.502608356,0.209090279,0.642196064,0.036846615,0
3.76552E-5,5.750706429,0.214400616,0.636175757,0.037703513,0
3.88418E-5,6.003070271,0.219672688,0.630245305,0.039417309,0
4.02431E-5,6.252020965,0.225808279,0.624584419,0.041988003,0
4.14609E-5,6.500942505,0.231062316,0.619103244,0.043701799,0
4.26522E-5,6.753113887,0.236133621,0.613711924,0.043701799,0
4.4055E-5,7.000017564,0.242020612,0.60859017,0.043701799,0
4.5357E-5,7.254527339,0.247403524,0.603468416,0.044558698,0
4.68175E-5,7.504068893,0.253351661,0.598616228,0.046272494,0
4.79549E-5,7.750276316,0.257919337,0.593943751,0.048843188,0
4.87994E-5,8.002177608,0.261274373,0.589271273,0.050556984,0
4.99109E-5,8.254595387,0.26564464,0.584688651,0.05227078,0
5.13022E-5,8.50252052,0.271042752,0.58028574,0.053984576,0
5.21635E-5,8.750901764,0.274344691,0.575972684,0.055698372,0
5.3286E-5,9.004015392,0.278603421,0.571659628,0.058269066,0
5.48391E-5,9.252641312,0.284414121,0.567526283,0.06083976,0
5.60392E-5,9.501797567,0.288840589,0.563482793,0.061696658,0
5.72476E-5,9.751429029,0.293242577,0.559529158,0.06512425,0
5.82179E-5,10.005404586,0.296738012,0.555575523,0.065981148,0
5.9333E-5,10.252062713,0.300712382,0.551801599,0.068551842,0
6.02606E-5,10.503097233,0.303984774,0.548027675,0.072836332,0
6.11434E-5,10.752092493,0.307070543,0.544343607,0.076263925,0
6.19272E-5,11.004565809,0.309787465,0.540659538,0.080548415,0
6.27699E-5,11.254087007,0.312684863,0.537065325,0.082262211,0
6.35537E-5,11.500418354,0.315357845,0.533560967,0.083976007,0
6.48004E-5,11.751152247,0.31956738,0.530056609,0.086546701,0
6.57303E-5,12.005670184,0.322673474,0.526552251,0.089117395,0
6.65204E-5,12.250409293,0.325290278,0.523227604,0.091688089,0
6.72062E-5,12.504455746,0.327545618,0.519813101,0.095972579,0
6.78852E-5,12.754435648,0.3297634,0.516488454,0.096829477,0
6.89509E-5,13.000406701,0.333215386,0.513253662,0.100257069,0
6.96843E-5,13.256939533,0.335570316,0.509929014,0.101113967,0
7.05759E-5,13.502495704,0.338410877,0.506784078,0.105398458,0
7.12839E-5,13.75064178,0.340649182,0.503639141,0.107112254,0
7.20548E-5,14.00149923,0.343069242,0.500494204,0.107112254,0
7.27454E-5,14.254960276,0.34522225,0.497349268,0.110539846,0
7.34713E-5,14.503753027,0.347470296,0.494294186,0.112253642,0
7.43512E-5,14.755026089,0.350174267,0.491239105,0.113967438,0
7.52297E-5,15.001946161,0.352852022,0.488273879,0.115681234,0
7.59914E-5,15.251494009,0.355155566,0.485308653,0.11739503,0
7.68704E-5,15.503795876,0.357793847,0.482343427,0.119108826,0
7.79725E-5,15.751679903,0.361071534,0.479468056,0.119965724,0
7.87554E-5,16.002726358,0.36337959,0.476592686,0.122536418,0
7.94795E-5,16.255801788,0.365499435,0.473717315,0.125107112,0
8.01515E-5,16.503284825,0.36745426,0.4709318,0.127677806,0
8.08172E-5,16.752814005,0.369378663,0.468146284,0.129391602,0
8.15367E-5,17.004281544,0.371445609,0.465360769,0.131962296,0
8.20421E-5,17.257854419,0.372889574,0.462575254,0.133676093,0
8.26293E-5,17.504856046,0.37455879,0.459879594,0.137103685,0
8.32962E-5,17.75378816,0.376443941,0.457183934,0.138817481,0
8.38154E-5,18.004565106,0.377903578,0.454488274,0.140531277,0
8.44964E-5,18.257018393,0.379807847,0.451792614,0.143958869,0
8.50289E-5,18.502860334,0.381288645,0.449186809,0.145672665,0
8.59069E-5,18.750860275,0.38371515,0.446581005,0.147386461,0
8.66293E-5,19.001095433,0.385697348,0.4439752,0.149100257,0
8.7093E-5,19.252913204,0.386962908,0.441369395,0.150814053,0
8.77031E-5,19.506298182,0.388620162,0.438763591,0.151670951,0
8.81386E-5,19.752472966,0.389797742,0.436247641,0.157669237,0
8.87389E-5,20.000095666,0.391413481,0.433731692,0.158526135,0
8.93691E-5,20.258390784,0.393100596,0.431125887,0.160239931,0
8.98653E-5,20.500573447,0.394422227,0.428699793,0.161096829,0
9.04217E-5,20.752956675,0.395897613,0.426183844,0.163667524,0
9.08885E-5,21.006827776,0.397129763,0.423667895,0.167095116,0
9.15255E-5,21.253068708,0.398802941,0.421241801,0.16966581,0
9.21713E-5,21.501071771,0.400490023,0.418815707,0.171379606,0
9.27677E-5,21.750926461,0.402039509,0.416389613,0.172236504,0
9.32081E-5,22.001941616,0.403178586,0.413963519,0.175664096,0
9.3638E-5,22.25417693,0.404286279,0.411537425,0.179091688,0
9.44249E-5,22.508071559,0.406303332,0.409111331,0.179948586,0
9.49048E-5,22.754205868,0.407526914,0.406775092,0.181662382,0
9.55245E-5,23.001822372,0.409099271,0.404438853,0.18251928,0
9.60258E-5,23.250934384,0.410365091,0.402102615,0.184233076,0
9.65154E-5,23.501373885,0.411596169,0.399766376,0.185089974,0
9.71648E-5,23.753198776,0.413221332,0.397430137,0.18680377,0
9.7788E-5,24.006613086,0.414772346,0.395093899,0.189374464,0
9.84799E-5,24.252004979,0.416484783,0.392847516,0.191945159,0
9.90105E-5,24.5088142,0.417791356,0.390511277,0.196229649,0
9.95563E-5,24.75693145,0.419129072,0.388264894,0.199657241,0
9.98399E-5,25.006163174,0.419821878,0.38601851,0.199657241,0
1.00444E-4,25.256641582,0.421290757,0.383772127,0.203084833,0
1.01002E-4,25.508443561,0.42264298,0.381525744,0.203941731,0
1.01341E-4,25.751201853,0.42346023,0.379369216,0.204798629,0
1.02023E-4,26.005395772,0.425099621,0.377122832,0.207369323,0
1.02519E-4,26.250966771,0.426283987,0.374966304,0.209940017,0
1.02919E-4,26.507698712,0.427237453,0.372719921,0.211653813,0
1.03616E-4,26.755585599,0.428890312,0.370563393,0.214224507,0
1.04142E-4,27.004854442,0.430131108,0.368406865,0.215081405,0
1.04596E-4,27.255486507,0.431197019,0.366250337,0.220222793,0
1.05039E-4,27.507009954,0.432233345,0.364093809,0.22193659,0
1.05592E-4,27.75987475,0.433523552,0.361937281,0.22622108,0
1.06006E-4,28.00321371,0.434485479,0.359870608,0.227077978,0
1.0655E-4,28.258236316,0.435742206,0.35771408,0.229648672,0
1.06979E-4,28.503855977,0.436730551,0.355647408,0.232219366,0
1.07464E-4,28.750496766,0.43784416,0.353580735,0.233076264,0
1.07841E-4,29.008951996,0.438705504,0.351424207,0.235646958,0
1.08393E-4,29.257604785,0.439964558,0.349357534,0.238217652,0
1.09012E-4,29.507797407,0.441368224,0.347290862,0.240788346,0
1.09463E-4,29.759072966,0.442384376,0.345224189,0.242502142,0
1.1E-4,30.000523621,0.443592546,0.343247372,0.244215938,0
1.10605E-4,30.254192675,0.444946745,0.341180699,0.245072836,0
1.11098E-4,30.50923373,0.446045844,0.339114026,0.246786632,0
1.11497E-4,30.754075624,0.446932133,0.337137209,0.248500428,0
1.12033E-4,31.000046419,0.448118482,0.335160392,0.251928021,0
1.1249E-4,31.258321799,0.449125525,0.333093719,0.253641817,0
1.12934E-4,31.506345034,0.450098525,0.331116902,0.257069409,0
1.13344E-4,31.755349498,0.450995442,0.329140084,0.261353899,0
1.1368E-4,32.005089385,0.451729358,0.327163267,0.263067695,0
1.14116E-4,32.255579171,0.452678699,0.32518645,0.264781491,0
1.14595E-4,32.507128122,0.453715272,0.323209632,0.268209083,0
1.14994E-4,32.759737325,0.454578152,0.321232815,0.269922879,0
