x,y,species_0 logistic values
1.0,1.0,0.48432437
2.0,2.0,0.46371987
3.0,3.0,0.29152998
4.0,4.0,0.23030101
5.0,5.0,0.15377262
6.0,6.0,0.40916204
7.0,7.0,0.5967301
8.0,8.0,0.5430382
9.0,9.0,0.50472647
10.0,10.0,0.6249555
11.0,11.0,0.44031945
12.0,12.0,0.20450637
13.0,13.0,0.067339465
14.0,14.0,0.036042232
15.0,15.0,0.02008379
16.0,16.0,0.2948878
17.0,17.0,0.095244385
18.0,18.0,0.13549055
19.0,19.0,0.24033324
20.0,20.0,0.2913267
21.0,21.0,0.0115102045
22.0,22.0,0.09335859
23.0,23.0,0.109922975
24.0,24.0,0.13397557
25.0,25.0,0.0473662
26.0,26.0,0.007934821
27.0,27.0,0.3996583
28.0,28.0,0.38273528
29.0,29.0,0.5129928
30.0,30.0,0.014907171
31.0,31.0,0.14416414
32.0,32.0,0.35476992
33.0,33.0,0.43212074
34.0,34.0,0.33664125
35.0,35.0,0.5945766
36.0,36.0,0.2603023
37.0,37.0,0.19512725
38.0,38.0,0.19730935
39.0,39.0,0.18188938
40.0,40.0,0.013500076
41.0,41.0,0.71895087
42.0,42.0,0.5728952
43.0,43.0,0.45101172
44.0,44.0,0.51428246
45.0,45.0,0.6594581
46.0,46.0,0.05802966
47.0,47.0,0.07705476
48.0,48.0,0.115965955
49.0,49.0,0.10940667
50.0,50.0,0.39003026
51.0,51.0,0.34040645
52.0,52.0,0.36004734
53.0,53.0,0.18054706
54.0,54.0,0.042105097
55.0,55.0,0.26621535
56.0,56.0,0.51358956
57.0,57.0,0.0828293
58.0,58.0,0.49228266
59.0,59.0,0.27905902
60.0,60.0,0.26720217
61.0,61.0,0.13844545
62.0,62.0,0.4529974
63.0,63.0,0.11976286
64.0,64.0,0.52238715
65.0,65.0,0.73925555
66.0,66.0,0.40526363
67.0,67.0,0.345482
68.0,68.0,0.20135021
69.0,69.0,0.55186456
70.0,70.0,0.0905907
71.0,71.0,0.52542716
72.0,72.0,0.23217165
73.0,73.0,0.39476722
74.0,74.0,0.016768752
75.0,75.0,0.27142927
76.0,76.0,0.6970985
77.0,77.0,0.46442586
78.0,78.0,0.02651093
79.0,79.0,0.44805858
80.0,80.0,0.014512087
81.0,81.0,0.38733557
82.0,82.0,0.5433625
83.0,83.0,0.23648122
84.0,84.0,0.37662455
85.0,85.0,0.5276212
86.0,86.0,0.42377004
87.0,87.0,0.15484872
88.0,88.0,0.6853924
89.0,89.0,0.014626915
90.0,90.0,0.20093018
91.0,91.0,0.060689937
92.0,92.0,0.39283064
93.0,93.0,0.17445813
94.0,94.0,0.3437259
95.0,95.0,0.30624044
96.0,96.0,0.42098922
97.0,97.0,0.28287715
98.0,98.0,0.3774295
99.0,99.0,0.47012413
100.0,100.0,0.22500768
101.0,101.0,0.59750426
102.0,102.0,0.020903591
103.0,103.0,0.12251019
104.0,104.0,0.67750764
105.0,105.0,0.0047370307
106.0,106.0,0.028537292
107.0,107.0,0.05505734
108.0,108.0,0.0028040637
109.0,109.0,0.7267098
110.0,110.0,0.087672845
111.0,111.0,0.024654161
112.0,112.0,0.015490261
113.0,113.0,0.4948851
114.0,114.0,0.4782516
115.0,115.0,0.041679766
116.0,116.0,0.12573223
117.0,117.0,0.52402514
118.0,118.0,0.07963459
119.0,119.0,0.21802229
120.0,120.0,0.57811934
121.0,121.0,0.18697481
122.0,122.0,0.42511487
123.0,123.0,0.45892972
124.0,124.0,0.118475966
125.0,125.0,0.0098625915
126.0,126.0,0.32780293
127.0,127.0,0.35947064
128.0,128.0,0.5703722
129.0,129.0,0.015967881
130.0,130.0,0.13832965
131.0,131.0,0.37694213
132.0,132.0,0.27312198
133.0,133.0,0.053286914
134.0,134.0,0.52301127
135.0,135.0,0.26326704
136.0,136.0,0.4674189
137.0,137.0,0.44029164
138.0,138.0,0.81064564
139.0,139.0,0.5451375
140.0,140.0,0.07259943
141.0,141.0,0.014624904
142.0,142.0,0.39554995
143.0,143.0,0.005913316
144.0,144.0,0.048227172
145.0,145.0,0.3365499
146.0,146.0,0.45737514
147.0,147.0,0.0065398854
148.0,148.0,0.0673271
149.0,149.0,0.3185369
150.0,150.0,0.1015128
151.0,151.0,0.1394252
152.0,152.0,0.5109953
153.0,153.0,0.0899472
154.0,154.0,0.15281315
155.0,155.0,0.4901963
156.0,156.0,0.6109822
157.0,157.0,0.42832097
158.0,158.0,0.24244474
159.0,159.0,0.5421091
160.0,160.0,0.38291213
161.0,161.0,0.51995355
162.0,162.0,0.041407336
163.0,163.0,0.010002807
164.0,164.0,0.16227226
165.0,165.0,0.4957149
166.0,166.0,0.5353394
167.0,167.0,0.041247934
168.0,168.0,0.14811085
169.0,169.0,0.35074472
170.0,170.0,0.00932633
171.0,171.0,0.4261183
172.0,172.0,0.084406435
173.0,173.0,0.41917184
174.0,174.0,0.08604787
175.0,175.0,0.07174901
176.0,176.0,0.030171119
177.0,177.0,0.5877098
178.0,178.0,0.5171432
179.0,179.0,0.49873376
180.0,180.0,0.17338435
181.0,181.0,0.21647178
182.0,182.0,0.513848
183.0,183.0,0.6467106
184.0,184.0,0.6023573
185.0,185.0,0.38266975
186.0,186.0,0.10962516
187.0,187.0,0.6152482
188.0,188.0,0.6185925
189.0,189.0,0.1180334
190.0,190.0,0.0652728
191.0,191.0,0.13610968
192.0,192.0,0.4574391
193.0,193.0,0.33883402
194.0,194.0,0.4941444
195.0,195.0,0.49707285
196.0,196.0,0.50528246
197.0,197.0,0.47283858
198.0,198.0,0.3060607
199.0,199.0,0.16784932
200.0,200.0,0.10171413
201.0,201.0,0.5477054
202.0,202.0,0.07597441
203.0,203.0,0.44448453
204.0,204.0,0.012310341
205.0,205.0,0.40148157
206.0,206.0,0.6807927
207.0,207.0,0.01736718
208.0,208.0,0.38795602
209.0,209.0,0.046297777
210.0,210.0,0.45016342
211.0,211.0,0.5599415
212.0,212.0,0.3653171
213.0,213.0,0.59249854
214.0,214.0,0.034077585
215.0,215.0,0.12364233
216.0,216.0,0.50961995
217.0,217.0,0.14433391
218.0,218.0,0.4028192
219.0,219.0,0.07072559
220.0,220.0,0.24664149
221.0,221.0,0.50463885
222.0,222.0,0.37597215
223.0,223.0,0.015885904
224.0,224.0,0.71841156
225.0,225.0,0.036695547
226.0,226.0,0.34465888
227.0,227.0,0.43211034
228.0,228.0,0.32516688
229.0,229.0,0.31323415
230.0,230.0,0.47126454
231.0,231.0,0.35754192
232.0,232.0,0.4019749
233.0,233.0,0.031950913
234.0,234.0,0.08003323
235.0,235.0,0.13198794
236.0,236.0,0.4747957
237.0,237.0,0.004746484
238.0,238.0,0.23133977
239.0,239.0,0.12466309
240.0,240.0,0.024150953
241.0,241.0,0.023083348
242.0,242.0,0.07576726
243.0,243.0,0.18682313
244.0,244.0,0.03949505
245.0,245.0,0.4541187
246.0,246.0,0.69216377
247.0,247.0,0.472872
248.0,248.0,0.42832094
249.0,249.0,0.3585864
250.0,250.0,0.44129488
251.0,251.0,0.11566382
252.0,252.0,0.53230894
253.0,253.0,0.254486
254.0,254.0,0.44762242
255.0,255.0,0.17985882
256.0,256.0,0.10915099
257.0,257.0,0.10108965
258.0,258.0,0.26829126
259.0,259.0,0.48058528
260.0,260.0,0.40244034
261.0,261.0,0.25535658
262.0,262.0,0.20229252
263.0,263.0,0.49990097
264.0,264.0,0.5752271
265.0,265.0,0.010410361
266.0,266.0,0.5322139
267.0,267.0,0.47589642
268.0,268.0,0.3117696
269.0,269.0,0.041284878
270.0,270.0,0.48387823
271.0,271.0,0.0025594495
272.0,272.0,0.006481438
273.0,273.0,0.29984063
274.0,274.0,0.44672734
275.0,275.0,0.14563404
276.0,276.0,0.1325067
277.0,277.0,0.24572876
278.0,278.0,0.49020943
279.0,279.0,0.22294235
280.0,280.0,0.12417557
281.0,281.0,0.26738307
282.0,282.0,0.07967035
283.0,283.0,0.46540457
284.0,284.0,0.18738611
285.0,285.0,0.56743157
286.0,286.0,0.09048379
287.0,287.0,0.21823364
288.0,288.0,0.38466462
289.0,289.0,0.14865729
290.0,290.0,0.032507498
291.0,291.0,0.21066736
292.0,292.0,0.44366777
293.0,293.0,0.3772671
294.0,294.0,0.5787624
295.0,295.0,0.23171876
296.0,296.0,0.33505392
297.0,297.0,0.43238226
298.0,298.0,0.14896062
299.0,299.0,0.2845935
300.0,300.0,0.35577956
301.0,301.0,0.13219301
302.0,302.0,0.37737185
303.0,303.0,0.6027535
304.0,304.0,0.49145737
305.0,305.0,0.47884673
306.0,306.0,0.4604883
307.0,307.0,0.09860847
308.0,308.0,0.4950574
309.0,309.0,0.55109245
310.0,310.0,0.44958448
311.0,311.0,0.3750121
312.0,312.0,0.09502349
313.0,313.0,0.015978996
314.0,314.0,0.5004395
315.0,315.0,0.17780244
316.0,316.0,0.5760721
317.0,317.0,0.49655336
318.0,318.0,0.354908
319.0,319.0,0.3512218
320.0,320.0,0.030889584
321.0,321.0,0.23959649
322.0,322.0,0.11659594
323.0,323.0,0.3369842
324.0,324.0,0.2306064
325.0,325.0,0.09709681
326.0,326.0,0.2170541
327.0,327.0,0.18909383
328.0,328.0,0.116185986
329.0,329.0,0.63212144
330.0,330.0,0.42985088
331.0,331.0,0.20615466
332.0,332.0,0.40068027
333.0,333.0,0.51647437
334.0,334.0,0.44924238
335.0,335.0,0.0036298595
336.0,336.0,0.12985049
337.0,337.0,0.44789714
338.0,338.0,0.47943076
339.0,339.0,0.5074063
340.0,340.0,0.47871083
341.0,341.0,0.37599108
342.0,342.0,0.29927891
343.0,343.0,0.025812814
344.0,344.0,0.451465
345.0,345.0,0.008055816
346.0,346.0,0.4452319
347.0,347.0,0.31035855
348.0,348.0,0.14387009
349.0,349.0,0.26583803
350.0,350.0,0.01586358
351.0,351.0,0.22126335
352.0,352.0,0.09285688
353.0,353.0,0.2538599
354.0,354.0,0.22301064
355.0,355.0,0.045908824
356.0,356.0,0.003917338
357.0,357.0,0.6189315
358.0,358.0,0.42038086
359.0,359.0,0.491005
360.0,360.0,0.13917084
