x,y,raw,cumulative,logistic
1.0,1.0,6.88311E-5,12.692987349,0.317277804
2.0,2.0,1.48135E-4,43.777378526,0.500039167
3.0,3.0,8.63377E-5,18.134609611,0.368257362
4.0,4.0,4.7141E-5,7.84433798,0.24143612
5.0,5.0,1.76633E-5,1.77857171,0.106549774
6.0,6.0,9.27876E-5,20.173467662,0.385171997
7.0,7.0,2.10567E-4,67.444723392,0.587063141
8.0,8.0,1.42243E-4,41.308488358,0.4898942
9.0,9.0,1.41938E-4,41.109538154,0.489357331
10.0,10.0,3.00932E-4,87.269478134,0.67016244
11.0,11.0,9.75672E-5,22.077169857,0.397133155
12.0,12.0,1.78103E-5,1.794554384,0.107341589
13.0,13.0,1.83632E-5,1.903195135,0.110306383
14.0,14.0,1.39547E-6,0.057716679,0.009333786
15.0,15.0,2.22794E-6,0.085215459,0.014819367
16.0,16.0,8.80255E-5,18.719104835,0.372772872
17.0,17.0,2.82791E-5,3.832704542,0.160321061
18.0,18.0,1.73783E-5,1.731154388,0.105011119
19.0,19.0,5.39869E-5,9.228530764,0.267131473
20.0,20.0,5.51967E-5,9.556629865,0.271492741
21.0,21.0,1.21627E-6,0.046178225,0.008144957
22.0,22.0,1.23597E-5,0.893639194,0.077021362
23.0,23.0,1.5107E-5,1.328268666,0.092556644
24.0,24.0,1.8983E-5,2.030101084,0.113606296
25.0,25.0,7.54463E-6,0.42304632,0.048469839
26.0,26.0,9.57078E-7,0.028689627,0.00642038
27.0,27.0,1.01827E-4,23.840540647,0.407408883
28.0,28.0,1.13711E-4,28.739656372,0.434305683
29.0,29.0,1.43755E-4,41.894649401,0.492536391
30.0,30.0,5.2499E-6,0.275574038,0.034232191
31.0,31.0,1.59124E-5,1.453634027,0.09701276
32.0,32.0,1.00871E-4,23.526251672,0.405132038
33.0,33.0,1.60886E-4,49.120917285,0.520670213
34.0,34.0,7.57704E-5,14.593623975,0.338438981
35.0,35.0,2.33495E-4,74.767440648,0.611873577
36.0,36.0,3.83843E-5,5.98309754,0.205818449
37.0,37.0,2.41123E-5,2.951786276,0.140005561
38.0,38.0,5.40909E-5,9.250150936,0.267508668
39.0,39.0,1.60886E-5,1.495245147,0.09798187
40.0,40.0,1.35533E-6,0.054682804,0.009067756
41.0,41.0,3.15099E-4,88.842694566,0.680250303
42.0,42.0,2.14817E-4,68.848997204,0.59189826
43.0,43.0,1.23669E-4,32.81965858,0.455032423
44.0,44.0,1.42214E-4,41.280040023,0.489842293
45.0,45.0,2.88152E-4,85.35695778,0.660499536
46.0,46.0,9.20468E-6,0.555426985,0.05851064
47.0,47.0,3.93189E-5,6.197087355,0.209778656
48.0,48.0,1.31597E-5,1.0080348,0.081599753
49.0,49.0,2.00945E-5,2.202417355,0.119463585
50.0,50.0,4.13492E-5,6.608064179,0.218246586
51.0,51.0,6.19976E-5,10.992223345,0.295073204
52.0,52.0,9.36641E-5,20.48113714,0.387400707
53.0,53.0,1.7878E-5,1.807046585,0.107705729
54.0,54.0,9.2416E-6,0.558196298,0.058731558
55.0,55.0,7.87804E-5,15.528652881,0.347215354
56.0,56.0,1.52543E-4,45.684821028,0.507369496
57.0,57.0,9.55705E-6,0.595747276,0.060614794
58.0,58.0,1.34703E-4,37.845681313,0.476293853
59.0,59.0,5.12091E-5,8.654475725,0.25691808
60.0,60.0,6.1376E-5,10.862658589,0.292981615
61.0,61.0,2.63721E-5,3.433541651,0.15114348
62.0,62.0,9.86725E-5,22.538281425,0.399833302
63.0,63.0,3.83272E-5,5.975426223,0.2055752
64.0,64.0,1.70026E-4,53.175829584,0.534441757
65.0,65.0,3.81152E-4,93.812693756,0.720155352
66.0,66.0,1.14823E-4,29.105237599,0.436697619
67.0,67.0,9.64795E-5,21.630942643,0.394452276
68.0,68.0,2.59548E-5,3.344618065,0.149108548
69.0,69.0,1.70942E-4,53.448531958,0.535778793
70.0,70.0,1.03669E-5,0.670488405,0.065415317
71.0,71.0,1.68659E-4,52.498708804,0.532432517
72.0,72.0,4.56265E-5,7.468720598,0.235506052
73.0,73.0,9.03598E-5,19.450103523,0.378912495
74.0,74.0,2.00842E-6,0.077381826,0.013378769
75.0,75.0,6.14177E-5,10.874940091,0.293122234
76.0,76.0,2.91969E-4,86.024375688,0.663444512
77.0,77.0,1.09446E-4,26.722014792,0.424937779
78.0,78.0,5.06173E-6,0.259042875,0.033045795
79.0,79.0,1.60986E-4,49.185293081,0.520825911
80.0,80.0,2.03101E-6,0.078192447,0.013527211
81.0,81.0,8.78102E-5,18.631160559,0.372200524
82.0,82.0,2.32212E-4,74.348236825,0.610564707
83.0,83.0,5.58728E-5,9.656630915,0.273907366
84.0,84.0,6.88113E-5,12.679221185,0.317215467
85.0,85.0,1.59246E-4,48.336673917,0.518113717
86.0,86.0,9.17747E-5,19.859784483,0.382575952
87.0,87.0,3.54798E-5,5.33152399,0.193254045
88.0,88.0,3.06335E-4,87.846142386,0.674083843
89.0,89.0,1.41425E-6,0.058838978,0.009458203
90.0,90.0,3.01521E-5,4.173970366,0.16914312
91.0,91.0,9.2682E-6,0.559123118,0.058890636
92.0,92.0,1.083E-4,26.406466064,0.42236882
93.0,93.0,1.78587E-5,1.805258782,0.107601616
94.0,94.0,8.94174E-5,19.153633649,0.376448286
95.0,95.0,5.89667E-5,10.277715881,0.284755464
96.0,96.0,1.11562E-4,27.804739902,0.429623139
97.0,97.0,4.08483E-5,6.521700641,0.216174411
