X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
2.0,2.0,train,1.8167209624526525E-4,59.596469752557326,0.5546651784835445
3.0,3.0,train,9.988886970770812E-5,22.21024575869031,0.40646294323824106
4.0,4.0,train,2.9189004917488573E-4,87.44116758540225,0.6667921784638966
7.0,7.0,train,1.761708714073017E-4,57.25513301075632,0.547057624848536
8.0,8.0,train,1.1552763888893917E-4,28.814493535616396,0.4419737898520867
9.0,9.0,train,8.760104114652525E-5,17.889349241528592,0.37522346948970703
10.0,10.0,train,5.279242966177484E-4,96.92048339844422,0.7835181887754842
11.0,11.0,train,1.0537577382872973E-4,24.587776135656693,0.4194254566661375
12.0,12.0,train,3.6272749050126805E-4,92.9974361624246,0.7132020269623138
13.0,13.0,train,1.2091343988282968E-4,31.537545039736873,0.453239486752707
14.0,14.0,train,2.26402034298968E-4,74.75573496767346,0.6081749578564742
15.0,15.0,train,1.7380679656666782E-5,1.8554690198720747,0.10647102066830978
16.0,16.0,train,2.1511319249890385E-4,71.4877896800612,0.595921363890812
18.0,18.0,train,1.6423520125673877E-4,52.16564748695922,0.5296238649429038
19.0,19.0,train,1.0023712863825894E-4,22.34673076838448,0.40730286522213016
20.0,20.0,train,1.635821861167529E-4,51.90384177905908,0.5286312396293382
21.0,21.0,train,5.475125453925299E-5,9.198478768550336,0.2729185975828798
23.0,23.0,train,7.963695254740109E-5,15.39093926731926,0.35315790275614634
24.0,24.0,train,7.5178930657091175E-6,0.47643006433095303,0.0490146591007358
25.0,25.0,train,1.559824250369177E-5,1.5498218049795909,0.0966069624382112
26.0,26.0,train,1.6142042271660365E-4,50.86713566044765,0.5253151185748947
27.0,27.0,train,1.7508747759190874E-4,56.764181913575975,0.5455286800465617
28.0,28.0,train,2.7459576954424895E-5,3.721320170806089,0.15843082442190862
29.0,29.0,train,1.384975350502296E-4,40.00801175558844,0.48704974135185003
30.0,30.0,train,1.8500529426316163E-4,61.12416871312907,0.5591515282493821
32.0,32.0,train,1.619816646973229E-4,51.0906454832632,0.5261805336728835
33.0,33.0,train,4.154968384166968E-4,95.2836842884315,0.7401618333144949
37.0,37.0,train,7.661939006361271E-5,14.591238127584436,0.344384669659216
39.0,39.0,train,2.902926564647821E-4,87.32921848916473,0.6655718246447075
40.0,40.0,train,2.3175344459356383E-4,76.16223965021734,0.6137277317368194
41.0,41.0,train,1.708048981290883E-4,55.18164458465505,0.5393824557200784
42.0,42.0,train,1.5447878136733875E-4,47.67274512433926,0.5143439627617226
43.0,43.0,train,2.3441010603648702E-4,76.86977689229712,0.6164263072552604
44.0,44.0,train,2.0138050823266553E-4,67.18720844584384,0.5799409627291906
45.0,45.0,train,2.8956713834993477E-4,87.27837244689385,0.6650145965262587
46.0,46.0,train,1.7786680195293637E-4,58.07188295334507,0.5494304670472967
47.0,47.0,train,1.2518212715277032E-4,33.56402911790412,0.46185042555180633
48.0,48.0,train,1.1158824852653787E-4,27.42146737939904,0.4334351386794555
49.0,49.0,train,1.3537143153865324E-4,38.29256722008512,0.4813479578956077
50.0,50.0,train,1.4188606773124488E-4,41.76816825189385,0.49309025117957556
51.0,51.0,train,2.263619150068909E-4,74.74495024641217,0.6081327259715315
52.0,52.0,train,2.2021388193000537E-4,73.01022373453169,0.6015515523200553
54.0,54.0,train,2.952282298317477E-4,87.65678013426836,0.6693138991716672
55.0,55.0,train,1.0733214372440097E-4,25.408264489487323,0.4239114049036079
56.0,56.0,train,3.7300340656439424E-4,93.57140636071483,0.7188819362346054
57.0,57.0,train,2.8902130014891775E-4,87.2334811490591,0.6645941444796948
59.0,59.0,train,7.363166070354366E-5,13.7432651002289,0.33546051338872246
60.0,60.0,train,8.286258087529793E-5,16.34594599695368,0.36228008202047
61.0,61.0,train,1.8765229894785975E-4,62.02430928780088,0.5626504062275411
62.0,62.0,train,2.2738331050467707E-4,75.05822281007993,0.6092050792044491
63.0,63.0,train,2.599181248128876E-4,82.75844787458261,0.6405383562501873
65.0,65.0,train,1.9744394990869708E-4,65.77806131552555,0.5751243145980459
68.0,68.0,train,3.526984760206064E-4,92.54578108502636,0.7074328221329977
70.0,70.0,train,1.7115158931044387E-4,55.361668521344214,0.5398861935367937
71.0,71.0,train,2.0670197500614426E-4,68.93506835710495,0.5862811633772855
72.0,72.0,train,1.679121002028512E-4,53.62886418678872,0.5351358627539593
73.0,73.0,train,4.60895729768227E-4,96.09709974116205,0.7596034526991225
74.0,74.0,train,1.6527590637982375E-4,52.55104790508471,0.5311971926664502
75.0,75.0,train,1.8976551814269801E-4,62.78531253568777,0.5654040954424359
76.0,76.0,train,1.140563475327935E-4,28.290665257063647,0.43881503934156935
77.0,77.0,train,6.50956142513403E-5,11.490579902978803,0.3085711140786108
78.0,78.0,train,9.402748686990008E-5,19.896973072555575,0.39196068589245164
79.0,79.0,train,2.443751044598143E-4,79.28031922440488,0.6262211351326032
80.0,80.0,train,2.0535225130511065E-4,68.53938898043971,0.5846912360107925
81.0,81.0,train,2.8152472103060015E-4,86.41127726820758,0.6587109646316571
82.0,82.0,train,2.5026972795545775E-4,80.70516763347989,0.6317831291140432
