x,y,species avg
1.0,1.0,0.41047543
2.0,2.0,0.48783392
3.0,3.0,0.34476992
4.0,4.0,0.25229365
5.0,5.0,0.13580719
6.0,6.0,0.39349097
7.0,7.0,0.5981088
8.0,8.0,0.51098967
9.0,9.0,0.51141953
10.0,10.0,0.6515027
11.0,11.0,0.4381258
12.0,12.0,0.13505831
13.0,13.0,0.11955165
14.0,14.0,0.027502649
15.0,15.0,0.019741803
16.0,16.0,0.34876093
17.0,17.0,0.13174188
18.0,18.0,0.1261765
19.0,19.0,0.26850873
20.0,20.0,0.31551835
21.0,21.0,0.011959719
22.0,22.0,0.08202483
23.0,23.0,0.093914345
24.0,24.0,0.12326633
25.0,25.0,0.062015135
26.0,26.0,0.008002243
27.0,27.0,0.3897847
28.0,28.0,0.39222604
29.0,29.0,0.48792836
30.0,30.0,0.026673617
31.0,31.0,0.11230582
32.0,32.0,0.41381234
33.0,33.0,0.45962453
34.0,34.0,0.34823048
35.0,35.0,0.5887886
36.0,36.0,0.22137135
37.0,37.0,0.16735612
38.0,38.0,0.27500993
39.0,39.0,0.18129419
40.0,40.0,0.014458845
41.0,41.0,0.68282104
42.0,42.0,0.59776187
43.0,43.0,0.4484681
44.0,44.0,0.5014679
45.0,45.0,0.6625006
46.0,46.0,0.052297793
47.0,47.0,0.17367028
48.0,48.0,0.09066462
49.0,49.0,0.10414771
50.0,50.0,0.30917665
51.0,51.0,0.2881156
52.0,52.0,0.40162295
53.0,53.0,0.13064872
54.0,54.0,0.04496402
55.0,55.0,0.30298346
56.0,56.0,0.48860672
57.0,57.0,0.074894205
58.0,58.0,0.48620564
59.0,59.0,0.29334652
60.0,60.0,0.30902338
61.0,61.0,0.14724864
62.0,62.0,0.4366015
63.0,63.0,0.18956098
64.0,64.0,0.52820903
65.0,65.0,0.7344892
66.0,66.0,0.4586057
67.0,67.0,0.35931385
68.0,68.0,0.1808542
69.0,69.0,0.5292604
70.0,70.0,0.08595968
71.0,71.0,0.5290627
72.0,72.0,0.23619214
73.0,73.0,0.40959895
74.0,74.0,0.015505447
75.0,75.0,0.30234239
76.0,76.0,0.67245096
77.0,77.0,0.44662791
78.0,78.0,0.026124543
79.0,79.0,0.4790286
80.0,80.0,0.014630041
81.0,81.0,0.3976172
82.0,82.0,0.594669
83.0,83.0,0.2699356
84.0,84.0,0.35040566
85.0,85.0,0.51808864
86.0,86.0,0.40058392
87.0,87.0,0.17876117
88.0,88.0,0.6817583
89.0,89.0,0.015277852
90.0,90.0,0.1747442
91.0,91.0,0.05210211
92.0,92.0,0.42646632
93.0,93.0,0.17777616
94.0,94.0,0.35270998
95.0,95.0,0.29585278
96.0,96.0,0.41657054
97.0,97.0,0.23593897
98.0,98.0,0.39924738
99.0,99.0,0.45591372
100.0,100.0,0.20042717
101.0,101.0,0.59370315
102.0,102.0,0.014851507
103.0,103.0,0.14165944
104.0,104.0,0.6675947
105.0,105.0,0.008680993
106.0,106.0,0.027346382
107.0,107.0,0.06581314
108.0,108.0,0.0023342527
109.0,109.0,0.7124589
110.0,110.0,0.17251593
111.0,111.0,0.046856537
112.0,112.0,0.017917136
113.0,113.0,0.4789265
114.0,114.0,0.5067654
115.0,115.0,0.04364616
116.0,116.0,0.1276538
117.0,117.0,0.5475074
118.0,118.0,0.10135009
119.0,119.0,0.23402016
120.0,120.0,0.59653604
121.0,121.0,0.20002295
122.0,122.0,0.3916694
123.0,123.0,0.42116445
124.0,124.0,0.14370778
125.0,125.0,0.009409026
126.0,126.0,0.31811476
127.0,127.0,0.37442356
128.0,128.0,0.60447925
129.0,129.0,0.013572206
130.0,130.0,0.12574804
131.0,131.0,0.40808678
132.0,132.0,0.29244116
133.0,133.0,0.076311134
134.0,134.0,0.53385425
135.0,135.0,0.24060261
136.0,136.0,0.47841173
137.0,137.0,0.45319778
138.0,138.0,0.79792273
139.0,139.0,0.53554773
140.0,140.0,0.055661347
141.0,141.0,0.010767168
142.0,142.0,0.40357202
143.0,143.0,0.0051672817
144.0,144.0,0.047531623
145.0,145.0,0.3223944
146.0,146.0,0.44443652
147.0,147.0,0.0061385203
148.0,148.0,0.10789637
149.0,149.0,0.37148768
150.0,150.0,0.11086166
151.0,151.0,0.12708595
152.0,152.0,0.49320453
153.0,153.0,0.09430683
154.0,154.0,0.12257691
155.0,155.0,0.51178056
156.0,156.0,0.6242204
157.0,157.0,0.46923053
158.0,158.0,0.23272704
159.0,159.0,0.5641426
160.0,160.0,0.3711993
161.0,161.0,0.5035546
162.0,162.0,0.038805336
163.0,163.0,0.009983889
164.0,164.0,0.15851767
165.0,165.0,0.5229181
166.0,166.0,0.51762855
167.0,167.0,0.049354225
168.0,168.0,0.19202425
169.0,169.0,0.35606158
170.0,170.0,0.010019486
171.0,171.0,0.41338834
172.0,172.0,0.06961808
173.0,173.0,0.39818555
174.0,174.0,0.1426515
175.0,175.0,0.07223702
176.0,176.0,0.027534299
177.0,177.0,0.59434277
178.0,178.0,0.4841851
179.0,179.0,0.43375883
180.0,180.0,0.18223712
181.0,181.0,0.2069164
182.0,182.0,0.5131217
183.0,183.0,0.6224754
184.0,184.0,0.6187923
185.0,185.0,0.34964672
186.0,186.0,0.16963287
187.0,187.0,0.59004027
188.0,188.0,0.6417908
189.0,189.0,0.18682352
190.0,190.0,0.093136184
191.0,191.0,0.18357667
192.0,192.0,0.48979992
193.0,193.0,0.3640978
194.0,194.0,0.5293608
195.0,195.0,0.5134938
196.0,196.0,0.52433187
197.0,197.0,0.45304865
198.0,198.0,0.31751028
199.0,199.0,0.15893799
200.0,200.0,0.08855507
201.0,201.0,0.58506495
202.0,202.0,0.06156619
203.0,203.0,0.45814547
204.0,204.0,0.011215976
205.0,205.0,0.43701282
206.0,206.0,0.6800202
207.0,207.0,0.0130830975
208.0,208.0,0.42400908
209.0,209.0,0.06781605
210.0,210.0,0.40179068
211.0,211.0,0.59658194
212.0,212.0,0.3601822
213.0,213.0,0.5680701
214.0,214.0,0.03542016
215.0,215.0,0.13399048
216.0,216.0,0.5485589
217.0,217.0,0.093474396
218.0,218.0,0.39607182
219.0,219.0,0.07960957
220.0,220.0,0.23570348
221.0,221.0,0.50418633
222.0,222.0,0.31561393
223.0,223.0,0.012756722
224.0,224.0,0.7071073
225.0,225.0,0.028209215
226.0,226.0,0.35020855
227.0,227.0,0.4148478
