x,y,species max
1.0,1.0,0.48432437
2.0,2.0,0.51621544
3.0,3.0,0.3892388
4.0,4.0,0.29355314
5.0,5.0,0.16325125
6.0,6.0,0.40916204
7.0,7.0,0.62152624
8.0,8.0,0.5430382
9.0,9.0,0.54983
10.0,10.0,0.6743954
11.0,11.0,0.49560383
12.0,12.0,0.20450637
13.0,13.0,0.16070133
14.0,14.0,0.04169414
15.0,15.0,0.024097728
16.0,16.0,0.38043857
17.0,17.0,0.16032106
18.0,18.0,0.14472263
19.0,19.0,0.29269132
20.0,20.0,0.3884358
21.0,21.0,0.015574536
22.0,22.0,0.094823875
23.0,23.0,0.109922975
24.0,24.0,0.13650388
25.0,25.0,0.08252173
26.0,26.0,0.008879056
27.0,27.0,0.41506267
28.0,28.0,0.4343057
29.0,29.0,0.5129928
30.0,30.0,0.03423219
31.0,31.0,0.14416414
32.0,32.0,0.44884476
33.0,33.0,0.52067024
34.0,34.0,0.38950184
35.0,35.0,0.61187357
36.0,36.0,0.2603023
37.0,37.0,0.19512725
38.0,38.0,0.3308171
39.0,39.0,0.27422762
40.0,40.0,0.019611847
41.0,41.0,0.71895087
42.0,42.0,0.61328954
43.0,43.0,0.4550324
44.0,44.0,0.5370658
45.0,45.0,0.6784917
46.0,46.0,0.05851064
47.0,47.0,0.22156408
48.0,48.0,0.115965955
49.0,49.0,0.121665336
50.0,50.0,0.39003026
51.0,51.0,0.34040645
52.0,52.0,0.45377526
53.0,53.0,0.18054706
54.0,54.0,0.05873156
55.0,55.0,0.3608359
56.0,56.0,0.51358956
57.0,57.0,0.08734692
58.0,58.0,0.49228266
59.0,59.0,0.32384655
60.0,60.0,0.35108006
61.0,61.0,0.17225648
62.0,62.0,0.4602582
63.0,63.0,0.21790712
64.0,64.0,0.5484517
65.0,65.0,0.7459307
66.0,66.0,0.5062825
67.0,67.0,0.39445227
68.0,68.0,0.20135021
69.0,69.0,0.55186456
70.0,70.0,0.10218751
71.0,71.0,0.5355588
72.0,72.0,0.2495499
73.0,73.0,0.43505436
74.0,74.0,0.017604643
75.0,75.0,0.33404112
76.0,76.0,0.6970985
77.0,77.0,0.46969277
78.0,78.0,0.033045795
79.0,79.0,0.5208259
80.0,80.0,0.019162355
81.0,81.0,0.41323236
82.0,82.0,0.61280227
83.0,83.0,0.30309922
84.0,84.0,0.38194078
85.0,85.0,0.55733705
86.0,86.0,0.44054914
87.0,87.0,0.21190187
88.0,88.0,0.6985187
89.0,89.0,0.020341115
90.0,90.0,0.2017669
91.0,91.0,0.060689937
92.0,92.0,0.52783203
93.0,93.0,0.22224951
94.0,94.0,0.37644827
95.0,95.0,0.33904135
96.0,96.0,0.42962313
97.0,97.0,0.28287715
98.0,98.0,0.4290429
