x,y,species median
1.0,1.0,0.4167879
2.0,2.0,0.48701268
3.0,3.0,0.3409353
4.0,4.0,0.24143612
5.0,5.0,0.13794632
6.0,6.0,0.3998266
7.0,7.0,0.5967301
8.0,8.0,0.5057379
9.0,9.0,0.50472647
10.0,10.0,0.6516584
11.0,11.0,0.44031945
12.0,12.0,0.1199145
13.0,13.0,0.11030638
14.0,14.0,0.03119094
15.0,15.0,0.019903963
16.0,16.0,0.35366315
17.0,17.0,0.12898578
18.0,18.0,0.125564
19.0,19.0,0.26713148
20.0,20.0,0.31091186
21.0,21.0,0.01163148
22.0,22.0,0.085019924
23.0,23.0,0.09255664
24.0,24.0,0.13397557
25.0,25.0,0.05216948
26.0,26.0,0.00825972
27.0,27.0,0.3996583
28.0,28.0,0.3854333
29.0,29.0,0.4925364
30.0,30.0,0.031825874
31.0,31.0,0.10328905
32.0,32.0,0.42375827
33.0,33.0,0.43212074
34.0,34.0,0.338439
35.0,35.0,0.5945766
36.0,36.0,0.22039738
37.0,37.0,0.17580716
38.0,38.0,0.2733778
39.0,39.0,0.18188938
40.0,40.0,0.014763109
41.0,41.0,0.6802503
42.0,42.0,0.60360104
43.0,43.0,0.44616473
44.0,44.0,0.5084748
45.0,45.0,0.6604995
46.0,46.0,0.052025482
47.0,47.0,0.20977865
48.0,48.0,0.08181104
49.0,49.0,0.10940667
50.0,50.0,0.32586753
51.0,51.0,0.2950732
52.0,52.0,0.4024403
53.0,53.0,0.11060946
54.0,54.0,0.043466747
55.0,55.0,0.30921683
56.0,56.0,0.5073695
57.0,57.0,0.07554688
58.0,58.0,0.48603937
59.0,59.0,0.29989228
60.0,60.0,0.3010156
61.0,61.0,0.15114348
62.0,62.0,0.43839568
63.0,63.0,0.2055752
64.0,64.0,0.53444177
65.0,65.0,0.73925555
66.0,66.0,0.4666445
67.0,67.0,0.35141498
68.0,68.0,0.1808829
69.0,69.0,0.5357788
70.0,70.0,0.0905907
71.0,71.0,0.5302034
72.0,72.0,0.23550606
73.0,73.0,0.4043335
74.0,74.0,0.015256889
75.0,75.0,0.29312223
76.0,76.0,0.6759036
77.0,77.0,0.4513016
78.0,78.0,0.02651093
79.0,79.0,0.4774243
80.0,80.0,0.014512087
81.0,81.0,0.4025185
82.0,82.0,0.6105647
83.0,83.0,0.27390736
84.0,84.0,0.34681556
85.0,85.0,0.5276212
86.0,86.0,0.41330355
87.0,87.0,0.19325404
88.0,88.0,0.6853924
89.0,89.0,0.015605135
90.0,90.0,0.192405
91.0,91.0,0.049752288
92.0,92.0,0.42170614
93.0,93.0,0.18073943
94.0,94.0,0.35036197
95.0,95.0,0.28475547
96.0,96.0,0.4218767
97.0,97.0,0.21617441
98.0,98.0,0.40566057
99.0,99.0,0.47012413
100.0,100.0,0.19501103
101.0,101.0,0.59750426
102.0,102.0,0.013644569
103.0,103.0,0.14626208
104.0,104.0,0.6713857
105.0,105.0,0.009580812
106.0,106.0,0.028537292
107.0,107.0,0.06929909
108.0,108.0,0.0024781034
109.0,109.0,0.7231907
110.0,110.0,0.17723747
111.0,111.0,0.04758779
112.0,112.0,0.015490261
113.0,113.0,0.48453787
114.0,114.0,0.51661444
115.0,115.0,0.041679766
116.0,116.0,0.12573223
117.0,117.0,0.5485676
118.0,118.0,0.08880682
119.0,119.0,0.23234886
120.0,120.0,0.5923351
121.0,121.0,0.18796295
122.0,122.0,0.38775137
123.0,123.0,0.4586889
124.0,124.0,0.14597704
125.0,125.0,0.009693668
126.0,126.0,0.31610206
127.0,127.0,0.36939508
128.0,128.0,0.61407787
129.0,129.0,0.015278428
130.0,130.0,0.12936728
131.0,131.0,0.40109017
132.0,132.0,0.2802655
133.0,133.0,0.0781492
134.0,134.0,0.5320073
135.0,135.0,0.2496802
136.0,136.0,0.47466162
137.0,137.0,0.46417764
138.0,138.0,0.7908946
139.0,139.0,0.53955525
140.0,140.0,0.06809944
141.0,141.0,0.010468657
142.0,142.0,0.4041865
143.0,143.0,0.0054033045
144.0,144.0,0.047040675
145.0,145.0,0.33476123
146.0,146.0,0.44422048
147.0,147.0,0.0065398854
148.0,148.0,0.107813925
149.0,149.0,0.363017
150.0,150.0,0.1015128
151.0,151.0,0.13061945
152.0,152.0,0.5109953
153.0,153.0,0.09419109
154.0,154.0,0.1231894
155.0,155.0,0.51727897
156.0,156.0,0.63275355
157.0,157.0,0.484802
158.0,158.0,0.23390113
159.0,159.0,0.55785674
160.0,160.0,0.38291213
161.0,161.0,0.50703126
162.0,162.0,0.041407336
163.0,163.0,0.010002807
164.0,164.0,0.16227226
165.0,165.0,0.51889694
166.0,166.0,0.52539015
167.0,167.0,0.043388527
168.0,168.0,0.1964922
169.0,169.0,0.35074472
170.0,170.0,0.00932633
171.0,171.0,0.42229047
172.0,172.0,0.075121105
173.0,173.0,0.40547627
174.0,174.0,0.14678659
175.0,175.0,0.07174901
176.0,176.0,0.026435992
177.0,177.0,0.59779465
178.0,178.0,0.49826834
179.0,179.0,0.43449235
180.0,180.0,0.17338435
181.0,181.0,0.22585014
182.0,182.0,0.513848
183.0,183.0,0.6176174
184.0,184.0,0.6058232
185.0,185.0,0.33984572
186.0,186.0,0.17868273
187.0,187.0,0.590156
188.0,188.0,0.6382655
189.0,189.0,0.19822472
190.0,190.0,0.09870436
191.0,191.0,0.18929498
192.0,192.0,0.48400146
193.0,193.0,0.3606499
194.0,194.0,0.5315609
195.0,195.0,0.51006454
196.0,196.0,0.5177754
197.0,197.0,0.45518634
198.0,198.0,0.3162084
199.0,199.0,0.16784932
200.0,200.0,0.09754869
201.0,201.0,0.58713824
202.0,202.0,0.07597441
203.0,203.0,0.44694176
204.0,204.0,0.012310341
205.0,205.0,0.45359594
206.0,206.0,0.679059
207.0,207.0,0.015801162
208.0,208.0,0.42903993
209.0,209.0,0.06827921
210.0,210.0,0.40110782
211.0,211.0,0.5977251
212.0,212.0,0.3523623
213.0,213.0,0.57439756
214.0,214.0,0.035278954
215.0,215.0,0.13040689
216.0,216.0,0.5500037
217.0,217.0,0.08651173
218.0,218.0,0.4028192
219.0,219.0,0.078738816
220.0,220.0,0.24664149
221.0,221.0,0.49749747
222.0,222.0,0.30569652
223.0,223.0,0.012536879
224.0,224.0,0.7135591
225.0,225.0,0.026079508
226.0,226.0,0.34465888
227.0,227.0,0.4105643
228.0,228.0,0.34087008
229.0,229.0,0.298388
230.0,230.0,0.41878358
231.0,231.0,0.39689907
232.0,232.0,0.38078615
233.0,233.0,0.030308912
234.0,234.0,0.06851556
235.0,235.0,0.17460099
236.0,236.0,0.4747957
237.0,237.0,0.004746484
238.0,238.0,0.19351788
239.0,239.0,0.111090645
240.0,240.0,0.021376558
241.0,241.0,0.023827488
242.0,242.0,0.13013403
243.0,243.0,0.18682313
244.0,244.0,0.03949505
245.0,245.0,0.4541187
246.0,246.0,0.6618137
247.0,247.0,0.51339406
248.0,248.0,0.45293143
249.0,249.0,0.351722
250.0,250.0,0.44953388
251.0,251.0,0.1093992
252.0,252.0,0.52621543
253.0,253.0,0.2926473
254.0,254.0,0.44762242
255.0,255.0,0.17985882
256.0,256.0,0.107217655
257.0,257.0,0.102169044
258.0,258.0,0.32984442
259.0,259.0,0.50555897
260.0,260.0,0.38913947
261.0,261.0,0.25535658
262.0,262.0,0.2252874
263.0,263.0,0.49990097
264.0,264.0,0.5325429
265.0,265.0,0.010019793
266.0,266.0,0.54396635
267.0,267.0,0.481459
268.0,268.0,0.35622793
269.0,269.0,0.03364714
270.0,270.0,0.48387823
271.0,271.0,0.004231567
272.0,272.0,0.0064431033
273.0,273.0,0.27285793
274.0,274.0,0.43250185
275.0,275.0,0.096243694
276.0,276.0,0.107814156
277.0,277.0,0.28815904
278.0,278.0,0.48502144
279.0,279.0,0.24057592
280.0,280.0,0.19107428
281.0,281.0,0.23852138
282.0,282.0,0.07967035
283.0,283.0,0.40761477
284.0,284.0,0.21702752
285.0,285.0,0.5488797
286.0,286.0,0.08967813
287.0,287.0,0.20907919
288.0,288.0,0.4310171
289.0,289.0,0.1141367
290.0,290.0,0.018824885
291.0,291.0,0.22943163
292.0,292.0,0.47488877
293.0,293.0,0.40935057
294.0,294.0,0.5787624
295.0,295.0,0.31175512
296.0,296.0,0.35742363
297.0,297.0,0.44177142
298.0,298.0,0.15017834
299.0,299.0,0.29271677
300.0,300.0,0.30053186
301.0,301.0,0.13383713
302.0,302.0,0.3848471
303.0,303.0,0.6043541
304.0,304.0,0.49500325
305.0,305.0,0.40949717
306.0,306.0,0.48695728
307.0,307.0,0.089667745
308.0,308.0,0.4950574
309.0,309.0,0.57925487
310.0,310.0,0.41024193
311.0,311.0,0.3750121
312.0,312.0,0.07084866
313.0,313.0,0.015978996
314.0,314.0,0.4260627
315.0,315.0,0.24294928
316.0,316.0,0.5830556
317.0,317.0,0.54735905
318.0,318.0,0.354908
319.0,319.0,0.37600982
320.0,320.0,0.038737252
321.0,321.0,0.22049287
322.0,322.0,0.18443792
323.0,323.0,0.32937908
324.0,324.0,0.24928808
325.0,325.0,0.09175823
326.0,326.0,0.22201772
327.0,327.0,0.23451425
328.0,328.0,0.116185986
329.0,329.0,0.6541791
330.0,330.0,0.41934973
331.0,331.0,0.24605753
332.0,332.0,0.40068027
333.0,333.0,0.51647437
334.0,334.0,0.46363106
335.0,335.0,0.0033176104
336.0,336.0,0.15078263
337.0,337.0,0.44522098
338.0,338.0,0.51395154
339.0,339.0,0.45517442
340.0,340.0,0.49615252
