x,y,species min
1.0,1.0,0.3172778
2.0,2.0,0.46371987
3.0,3.0,0.29152998
4.0,4.0,0.22604509
5.0,5.0,0.10654978
6.0,6.0,0.37112695
7.0,7.0,0.58706313
8.0,8.0,0.47637087
9.0,9.0,0.48935732
10.0,10.0,0.6249555
11.0,11.0,0.39713314
12.0,12.0,0.10734159
13.0,13.0,0.067339465
14.0,14.0,0.009333786
15.0,15.0,0.014819367
16.0,16.0,0.2948878
17.0,17.0,0.095244385
18.0,18.0,0.10501112
19.0,19.0,0.24033324
20.0,20.0,0.27149275
21.0,21.0,0.008144957
22.0,22.0,0.059900396
23.0,23.0,0.085487254
24.0,24.0,0.09583968
25.0,25.0,0.0473662
26.0,26.0,0.0064203804
27.0,27.0,0.3621978
28.0,28.0,0.3416644
29.0,29.0,0.4560115
30.0,30.0,0.014907171
31.0,31.0,0.09701276
32.0,32.0,0.35476992
33.0,33.0,0.40708822
34.0,34.0,0.33094317
35.0,35.0,0.54323125
36.0,36.0,0.19089988
37.0,37.0,0.14000556
38.0,38.0,0.19730935
39.0,39.0,0.09798187
40.0,40.0,0.009067756
41.0,41.0,0.6475507
42.0,42.0,0.5728952
43.0,43.0,0.44396916
44.0,44.0,0.45767412
45.0,45.0,0.6491595
46.0,46.0,0.04231264
47.0,47.0,0.07705476
48.0,48.0,0.08052912
49.0,49.0,0.073294796
50.0,50.0,0.21824658
51.0,51.0,0.24664657
52.0,52.0,0.36004734
53.0,53.0,0.107209854
54.0,54.0,0.034346383
55.0,55.0,0.2314339
56.0,56.0,0.45538077
57.0,57.0,0.060614794
58.0,58.0,0.47629386
59.0,59.0,0.25691807
60.0,60.0,0.26720217
61.0,61.0,0.11930828
62.0,62.0,0.3998333
63.0,63.0,0.11976286
64.0,64.0,0.49720183
65.0,65.0,0.72015536
66.0,66.0,0.40526363
67.0,67.0,0.345482
68.0,68.0,0.14910854
69.0,69.0,0.49983615
70.0,70.0,0.065415315
71.0,71.0,0.5216916
72.0,72.0,0.21590693
73.0,73.0,0.3789125
74.0,74.0,0.013378769
75.0,75.0,0.27142927
76.0,76.0,0.6466131
77.0,77.0,0.42278156
78.0,78.0,0.020470066
79.0,79.0,0.4406739
80.0,80.0,0.010806721
81.0,81.0,0.37220052
82.0,82.0,0.5433625
83.0,83.0,0.23648122
84.0,84.0,0.31721547
