x,y,species stddev
1.0,1.0,0.054127704
2.0,2.0,0.018876482
3.0,3.0,0.033156447
4.0,4.0,0.025733754
5.0,5.0,0.021312317
6.0,6.0,0.013640782
7.0,7.0,0.012405334
8.0,8.0,0.026587188
9.0,9.0,0.020667702
10.0,10.0,0.019009959
11.0,11.0,0.032991443
12.0,12.0,0.0353159
13.0,13.0,0.035605434
14.0,14.0,0.011714134
15.0,15.0,0.0029445407
16.0,16.0,0.03017128
17.0,17.0,0.022798777
18.0,18.0,0.01353553
19.0,19.0,0.018388689
20.0,20.0,0.039652675
21.0,21.0,0.0024035391
22.0,22.0,0.01277314
23.0,23.0,0.008424543
24.0,24.0,0.016174762
25.0,25.0,0.01563931
26.0,26.0,8.493704E-4
27.0,27.0,0.022102447
28.0,28.0,0.031864464
29.0,29.0,0.019550418
30.0,30.0,0.008383682
31.0,31.0,0.017045626
32.0,32.0,0.03287812
33.0,33.0,0.04550166
34.0,34.0,0.021161934
35.0,35.0,0.023826785
36.0,36.0,0.023460839
37.0,37.0,0.020273067
38.0,38.0,0.04510747
39.0,39.0,0.062141024
40.0,40.0,0.0033889762
41.0,41.0,0.023214325
42.0,42.0,0.014252084
43.0,43.0,0.0040105414
44.0,44.0,0.026584096
45.0,45.0,0.00951517
46.0,46.0,0.0059004743
47.0,47.0,0.055849276
48.0,48.0,0.0134983
49.0,49.0,0.017739298
50.0,50.0,0.06336096
51.0,51.0,0.033662874
52.0,52.0,0.03052649
53.0,53.0,0.029121056
54.0,54.0,0.007926535
55.0,55.0,0.04860752
56.0,56.0,0.026697686
57.0,57.0,0.009675487
58.0,58.0,0.005837704
59.0,59.0,0.023199728
60.0,60.0,0.029686196
61.0,61.0,0.017664663
62.0,62.0,0.021020828
63.0,63.0,0.0364597
64.0,64.0,0.017613372
65.0,65.0,0.0095327115
66.0,66.0,0.03476964
67.0,67.0,0.017949587
68.0,68.0,0.018387103
69.0,69.0,0.01838048
70.0,70.0,0.013026285
71.0,71.0,0.0049478533
72.0,72.0,0.012181171
73.0,73.0,0.02226594
74.0,74.0,0.0015206445
75.0,75.0,0.023505416
76.0,76.0,0.01681436
77.0,77.0,0.019543327
